complaint,category,Cleaned_Complaint
"मुझे मेरा पूर्व-प्रेमी ब्लैकमेल कर रहा है जो मेरे बारे में निजी जानकारी उजागर करने की धमकी दे रहा है। कुछ दिन पहले फेसबुक पर मैसेज के जरिए ब्लैकमेल की कोशिशें शुरू हुईं। वे रुपये मांग रहे हैं. 20,000 न देने पर वे मुझे सार्वजनिक रूप से बदनाम करने की धमकी देते हैं। मैंने अब तक उनकी कोई भी मांग नहीं मानी है।' लगातार मिल रही इन धमकियों से मानसिक दबाव असहनीय होता जा रहा है। मैंने इस मामले से जुड़े सभी मैसेज और कॉल का रिकॉर्ड रखा है.' मैं इस ब्लैकमेल को रोकने और मेरी गोपनीयता की रक्षा के लिए तत्काल कार्रवाई का अनुरोध करता हूं। कृपया सलाह दें कि मैं इस व्यक्ति के खिलाफ क्या कानूनी कदम उठा सकता हूं।",ब्लैकमेल,पूर्व प्रेमी ब्लैकमेल रहना जो बारे निजी जानकारी उजागर धमकी देना रहना । कुछ दिन पहले फेसबुक मैसेज जरिये ब्लैकमेल कोशिश शुरू होना । रुपया मांगना रहना न देना सार्वजनिक रूप बदनाम धमकी देना । अब कोई मांग नहीं मानना । लगातार मिलना रहना धमकी मानसिक दबाव असहनीय होना जाना रहना । मामला जुडना सभी मैसेज कॉल रिकॉर्ड रखना ब्लैकमेल रोकना गोपनीयता रक्षा तत्काल कार्रवाई अनुरोध । कृपया सलाह देना कि व्यक्ति खिलाफ क्या कानूनी कदम उठाना सकना ।
मैं बोरीवली में हुई छेड़छाड़ की एक घटना की रिपोर्ट करना चाहता हूं। आज सुबह करीब 8 बजे जब मैं पैदल जा रही थी तो बस स्टॉप पर एक आदमी ने मुझ पर अश्लील टिप्पणी की। उन्होंने सीटियां भी बजाईं और मेरे और मेरे दोस्त की ओर अनुचित इशारे भी किए। जब मैंने उन्हें नज़रअंदाज कर दूर जाने की कोशिश की तो उन्होंने कुछ दूर तक पीछा किया। इस तरह के व्यवहार से मुझे अकेले यात्रा करते समय असुरक्षित महसूस होने लगा है। क्षेत्र की अन्य महिलाओं को भी उसी स्थान पर इसी तरह के उत्पीड़न का सामना करना पड़ा है। मैं ऐसी घटनाओं को रोकने के लिए इस क्षेत्र में पुलिस गश्त बढ़ाने का अनुरोध करता हूं। यदि लाइन-अप या सीसीटीवी समीक्षा की व्यवस्था की जाती है तो मैं व्यक्तियों की पहचान करने के लिए तैयार हूं।,ईव टीज़िंग,बोरीवली होना छेडछाड घटना रिपोर्ट चाहना । आज सुबह करीब बजे जब पैदल जाना रहना बस स्टॉप आदमी ने अश्लील टिप्पणी । सीटी बजाना दोस्त ओर अनुचित इशारा । जब नजरअंदाज दूर जाना कोशिश कुछ दूर पीछा । तरह व्यवहार अकेला यात्रा समय असुरक्षित महसूस होना लगाना । क्षेत्र अन्य महिला स्थान तरह उत्पीडन सामना पड़ना । ऐसा घटना रोकना क्षेत्र पुलिस गश्त बढ़ाना अनुरोध । यदि लाइन अप सीसीटीवी समीक्षा व्यवस्था जाना व्यक्ति पहचान तैयार ।
"मैं हडपसर में अपने पूर्व-प्रेमी द्वारा लगातार किए जा रहे उत्पीड़न की रिपोर्ट करना चाहती हूं। यह इस महीने की 3 तारीख को शुरू हुआ और तब से बंद नहीं हुआ है। मेरा पूर्व-प्रेमी दूसरों के सामने मेरे बारे में अपमानजनक टिप्पणियाँ करता रहता है। पिछले हफ्ते इस शख्स ने मेरे घर के पास फिर मेरे साथ बदतमीजी की. मैंने उनसे विनम्रतापूर्वक रुकने के लिए कहा, लेकिन वे मुझे परेशान करते रहे। इससे मेरी मानसिक शांति प्रभावित हो रही है और मुझे अकेले बाहर निकलने में डर लगता है।' मैं पुलिस से जिम्मेदार व्यक्ति के खिलाफ सख्त कार्रवाई करने का अनुरोध करता हूं।' मैं जांच के लिए आवश्यक कोई भी अतिरिक्त विवरण प्रदान करने के लिए तैयार हूं।",उत्पीड़न,हडपसर अपना पूर्व प्रेमी लगातार जाना रहना उत्पीडन रिपोर्ट चाहना । महीना तारीख शुरू होना तब बंद नहीं होना । पूर्व प्रेमी दूसरा सामने बारे अपमानजनक टिप्पणी रहना । पिछला हफ्ता शख्स ने घर पास फिर साथ बदतमीजी विनम्रतापूर्वक रुकना कहना लेकिन परेशान रहना । मानसिक शान्ति प्रभावित होना रहना अकेला बाहर निकलना डर लगना । पुलिस जिम्मेदार व्यक्ति खिलाफ सख्त कार्रवाई अनुरोध । जांच आवश्यक कोई अतिरिक्त विवरण प्रदान तैयार ।
मुझे और मेरे परिवार को पिंपरी में रहने वाले मेरे सहकर्मी द्वारा परेशान किया जा रहा है। 15 जुलाई से लगातार उत्पीड़न जारी है। जब भी वे मुझे देखते हैं तो भद्दे कमेंट करते हैं और परेशानी पैदा करने की कोशिश करते हैं। कल रात करीब 9 बजे स्थिति तब और खराब हो गई जब वे मुझसे सीधे भिड़ गए। इस लगातार उत्पीड़न के कारण मैं काम पर जाने में असुरक्षित महसूस करती हूं। मेरे परिवार के सदस्यों ने भी कई मौकों पर इस व्यवहार को देखा है। मैं तत्काल हस्तक्षेप का अनुरोध करता हूं ताकि यह उत्पीड़न स्थायी रूप से बंद हो जाए। कृपया मेरी शिकायत दर्ज कर आवश्यक कानूनी कार्रवाई करें।,उत्पीड़न,परिवार पिंपरी रहना वाला सहकर्मी परेशान जाना रहना । जुलाई लगातार उत्पीडन जारी । जब देखना भद्दा कमेंट परेशानी पैदा कोशिश । कल रात करीब बजे स्थिति तब खराब होना जाना जब सीधे भिडना जाना । लगातार उत्पीडन कारण काम जाना असुरक्षित महसूस । परिवार सदस्य ने कई मौका व्यवहार देखना । तत्काल हस्तक्षेप अनुरोध ताकि उत्पीडन स्थायी रूप बंद होना जाना । कृपया शिकायत दर्ज आवश्यक कानूनी कार्रवाई ।
मैं घर में लगातार घरेलू दुर्व्यवहार के लिए अपने ससुर के खिलाफ यह शिकायत दर्ज कर रही हूं। पिछले महीने की 10 तारीख से मुझे शारीरिक उत्पीड़न और उत्पीड़न का शिकार होना पड़ रहा है। मुझे बुनियादी ज़रूरतों से भी वंचित कर दिया जाता है और बिना कारण घर तक सीमित कर दिया जाता है। जब भी मैं बोलने की कोशिश करता हूं तो बार-बार हिंसा की धमकियां मिलती रहती हैं। मेरे रिश्तेदार स्थिति से अवगत हैं और दुर्व्यवहार की गवाही दे सकते हैं। मुझे अपनी सुरक्षा और मेरे साथ रहने वाले मेरे बच्चों की सुरक्षा का डर है। मैं कानून के तहत तत्काल सुरक्षा और उचित कानूनी कार्रवाई का अनुरोध करता हूं। कृपया मेरी स्थिति के लिए उपलब्ध आश्रय और कानूनी सहायता के संबंध में मेरा मार्गदर्शन करें।,घरेलू हिंसा,घर लगातार घरेलू दुर्व्यवहार अपना ससुर खिलाफ शिकायत दर्ज रहना । पिछला महीना तारीख शारीरिक उत्पीडन उत्पीडन शिकार होना पड़ना रहना । बुनियादी ज़रूरत वंचित देना जाना बिना कारण घर सीमित देना जाना । जब बोलना कोशिश बार बार हिंसा धमकी मिलना रहना । रिश्तेदार स्थिति अवगत दुर्व्यवहार गवाही देना सकना । अपना सुरक्षा साथ रहना वाला बच्चा सुरक्षा डर । कानून तहत तत्काल सुरक्षा उचित कानूनी कार्रवाई अनुरोध । कृपया स्थिति उपलब्ध आश्रय कानूनी सहायता संबंध मार्गदर्शन ।
"मैं बानेर में टूटी हुई स्ट्रीट लाइट और क्षतिग्रस्त फुटपाथ की रिपोर्ट करना चाहता हूं जिससे सुरक्षा संबंधी समस्याएं पैदा हो रही हैं। बिना किसी मरम्मत कार्य के यह समस्या पिछले शुक्रवार से बनी हुई है। इस इलाके में बुजुर्गों और बच्चों को सुरक्षित चलने में काफी दिक्कत होती है। बारिश के दौरान इलाके में पानी भर जाता है, जिससे गिरने का खतरा बढ़ जाता है। यहां लोगों के फिसलने और घायल होने की कुछ घटनाएं हो चुकी हैं। मैं अन्य निवासियों के साथ इस सार्वजनिक बुनियादी ढांचे की तत्काल मरम्मत का अनुरोध करता हूं। इससे रोजाना गुजरने वाले राहगीरों और वाहनों को लगातार खतरा बना हुआ है। मैं इस मामले को सुलझाने के लिए नगर निगम अधिकारियों से त्वरित कार्रवाई का अनुरोध करता हूं।",सार्वजनिक सुरक्षा,बानेर टूटी होना स्ट्रीट लाइट क्षतिग्रस्त फुटपाथ रिपोर्ट चाहना जो सुरक्षा संबंधी समस्या पैदा होना रहना । बिना कोई मरम्मत कार्य समस्या पिछला शुक्रवार बनना होना । इलाका बुजुर्ग बच्चा सुरक्षित चलना काफी दिक्कत होना । बारिश दौरान इलाका पानी भरना जाना जो गिरना खतरा बढ़ना जाना । यहाँ लोग फिसलना घायल होना कुछ घटना होना चुकना । अन्य निवासी साथ सार्वजनिक बुनियादी ढांचा तत्काल मरम्मत अनुरोध । रोजाना गुजरना वाला राहगीर वाहन लगातार खतरा बनना होना । मामला सुलझाना नगर निगम अधिकारी त्वरित कार्रवाई अनुरोध ।
"मैं रिपोर्ट करना चाहता हूं कि मेरा सहपाठी स्नैपचैट का उपयोग करके मुझे ब्लैकमेल कर रहा है। पिछले दो सप्ताह से यह व्यक्ति मेरी निजी तस्वीरें और जानकारी लीक करने की धमकी दे रहा है। वे रुपये की मांग कर रहे हैं. सामग्री को सार्वजनिक न करने के बदले में 35,000 रु. मैंने पैसे देने से इनकार कर दिया है, जिसके बाद धमकियां और भी बढ़ गई हैं. इस ब्लैकमेल से मुझे गंभीर मानसिक तनाव और सामाजिक शर्मिंदगी का डर सता रहा है। मैंने सभी चैट वार्तालाप और स्क्रीनशॉट को साक्ष्य के रूप में सहेजा है। मैं साइबर अपराध विभाग से जांच करने और सख्त कार्रवाई करने का अनुरोध करता हूं।' मैं यह सुनिश्चित करने के लिए पूरा सहयोग करने को तैयार हूं कि इस व्यक्ति को जवाबदेह ठहराया जाए।",ब्लैकमेल,रिपोर्ट चाहना कि सहपाठी स्नैपचैट उपयोग ब्लैकमेल रहना । पिछला दो सप्ताह व्यक्ति निजी तस्वीर जानकारी लीक धमकी देना रहना । रुपया मांग रहना सामग्री सार्वजनिक न बदले रु पैसा देना इनकार देना जो बाद धमकी बढ़ना जाना ब्लैकमेल गंभीर मानसिक तनाव सामाजिक शर्मिंदगी डर सताना रहना । सभी चैट वार्तालाप स्क्रीनशॉट साक्ष्य रूप सहेजना । साइबर अपराध विभाग जांच सख्त कार्रवाई अनुरोध । सुनिश्चित पूरा सहयोग तैयार कि व्यक्ति जवाबदेह ठहराना जाना ।
"मैं नासिक रोड में सड़कों की स्थिति के संबंध में सार्वजनिक सुरक्षा चिंता उठाना चाहता हूं। मुख्य सड़क के पास एक खुला मैनहोल है जिसे 2 अगस्त से खुला रखा गया है। इस स्थान पर पहले भी कई दोपहिया वाहन चालक छोटी-मोटी दुर्घटना का शिकार हो चुके हैं। खतरनाक क्षेत्र के आसपास कोई चेतावनी संकेत या बैरिकेड्स नहीं लगाए गए हैं। रात के समय खराब स्ट्रीट लाइट के कारण हादसों का खतरा और भी बढ़ जाता है। स्थानीय निवासी पहले भी यह मुद्दा उठा चुके हैं, लेकिन कोई कार्रवाई नहीं हुई। मैं संबंधित अधिकारियों से मैनहोल की मरम्मत करने और उचित रोशनी सुनिश्चित करने का अनुरोध करता हूं। यह एक गंभीर सार्वजनिक सुरक्षा ख़तरा है जिस पर तत्काल ध्यान देने की आवश्यकता है।",सार्वजनिक सुरक्षा,नासिक रोड सड़क स्थिति संबंध सार्वजनिक सुरक्षा चिंता उठाना चाहना । मुख्य सड़क पास खुला मैनहोल जो अगस्त खुलना रखना जाना । स्थान पहले कई दोपहिया वाहन चालक छोटा मोटा दुर्घटना शिकार होना चुकना । खतरनाक क्षेत्र आसपास कोई चेतावनी संकेत बैरिकेड्स नहीं लगाना जाना । रात समय खराब स्ट्रीट लाइट कारण हादसा खतरा बढ़ना जाना । स्थानीय निवासी पहले मुद्दा उठाना चुकना लेकिन कोई कार्रवाई नहीं होना । संबंधित अधिकारी मैनहोल मरम्मत उचित रोशनी सुनिश्चित अनुरोध । गंभीर सार्वजनिक सुरक्षा खतरा जो तत्काल ध्यान देना आवश्यकता ।
"मुझे लड़कों के एक समूह द्वारा ब्लैकमेल किया जा रहा है जो मेरे बारे में निजी जानकारी उजागर करने की धमकी दे रहा है। ब्लैकमेल की कोशिशें इस महीने की 3 तारीख को एक डेटिंग ऐप पर संदेशों के माध्यम से शुरू हुईं। वे रुपये मांग रहे हैं. 50,000 न देने पर वे मुझे सार्वजनिक रूप से बदनाम करने की धमकी देते हैं। मैंने अब तक उनकी कोई भी मांग नहीं मानी है।' लगातार मिल रही इन धमकियों से मानसिक दबाव असहनीय होता जा रहा है। मैंने इस मामले से जुड़े सभी मैसेज और कॉल का रिकॉर्ड रखा है.' मैं इस ब्लैकमेल को रोकने और मेरी गोपनीयता की रक्षा के लिए तत्काल कार्रवाई का अनुरोध करता हूं। कृपया सलाह दें कि मैं इस व्यक्ति के खिलाफ क्या कानूनी कदम उठा सकता हूं।",ब्लैकमेल,लड़का समूह ब्लैकमेल जाना रहना जो बारे निजी जानकारी उजागर धमकी देना रहना । ब्लैकमेल कोशिश महीना तारीख डेटिंग ऐप संदेश माध्यम शुरू होना । रुपया मांगना रहना न देना सार्वजनिक रूप बदनाम धमकी देना । अब कोई मांग नहीं मानना । लगातार मिलना रहना धमकी मानसिक दबाव असहनीय होना जाना रहना । मामला जुडना सभी मैसेज कॉल रिकॉर्ड रखना ब्लैकमेल रोकना गोपनीयता रक्षा तत्काल कार्रवाई अनुरोध । कृपया सलाह देना कि व्यक्ति खिलाफ क्या कानूनी कदम उठाना सकना ।
