complaint,category
"मैं वाकाड में शोर और उपद्रव के संबंध में एक सामान्य सुरक्षा शिकायत दर्ज करना चाहता हूं। 22 जून से, पास का एक प्रतिष्ठान अनुमत समय से अधिक जोर-शोर से काम कर रहा है। इससे आस-पड़ोस की शांति भंग हो गई है, विशेषकर बुजुर्ग निवासियों और बच्चों के लिए। मालिकों से शोर कम करने के बार-बार अनुरोध को नजरअंदाज कर दिया गया है। सप्ताहांत पर स्थिति और भी गंभीर हो जाती है जब अशांति देर रात तक जारी रहती है। इस मुद्दे को स्थानीय अधिकारियों के सामने उठाने के लिए कई पड़ोसी एकजुट हुए हैं। मैं यह सुनिश्चित करने के लिए आवश्यक कार्रवाई का अनुरोध करता हूं कि शोर के स्तर को नियंत्रण में लाया जाए। कृपया निवासियों की भलाई के लिए इस मामले पर जल्द से जल्द ध्यान दें।",अन्य
"मेरे कार्यस्थल पर वरिष्ठ के रूप में पहचाने जाने वाला एक व्यक्ति 2 अगस्त से मेरा पीछा कर रहा है। कल रात करीब 9 बजे वे मेरे कॉलेज के गेट के पास खड़े होकर मुझे देखते दिखे। मेरे कई बार मना करने के बाद भी वे बार-बार मुझसे बात करने की कोशिश करते हैं। मेरे दोस्तों ने भी देखा है कि यह व्यक्ति अलग-अलग दिनों में मेरा पीछा कर रहा है। ऐसा लगता है कि यह व्यक्ति मेरी दिनचर्या जानता है, जो बहुत चिंताजनक है। मुझे डर है कि अगर इसे नहीं रोका गया तो यह और भी खतरनाक रूप ले सकता है। मेरा अनुरोध है कि इस व्यक्ति के खिलाफ तुरंत सख्त कार्रवाई की जाए।' कृपया मेरी सुरक्षा सुनिश्चित करने के लिए अगले कदमों पर मेरा मार्गदर्शन करें।",स्टॉकिंग
"मैं रिपोर्ट करना चाहता हूं कि पास का एक दुकानदार फेसबुक का उपयोग करके मुझे ब्लैकमेल कर रहा है। पिछले दो सप्ताह से यह व्यक्ति मेरी निजी तस्वीरें और जानकारी लीक करने की धमकी दे रहा है। वे रुपये की मांग कर रहे हैं. सामग्री को सार्वजनिक न करने के बदले में 1,00,000 रु. मैंने पैसे देने से इनकार कर दिया है, जिसके बाद धमकियां और भी बढ़ गई हैं. इस ब्लैकमेल से मुझे गंभीर मानसिक तनाव और सामाजिक शर्मिंदगी का डर सता रहा है। मैंने सभी चैट वार्तालाप और स्क्रीनशॉट को साक्ष्य के रूप में सहेजा है। मैं साइबर अपराध विभाग से जांच करने और सख्त कार्रवाई करने का अनुरोध करता हूं।' मैं यह सुनिश्चित करने के लिए पूरा सहयोग करने को तैयार हूं कि इस व्यक्ति को जवाबदेह ठहराया जाए।",ब्लैकमेल
मैं विले पार्ले में हुई छेड़छाड़ की एक घटना की रिपोर्ट करना चाहता हूं। कल शाम जब मैं पैदल जा रही थी तो बाइक पर सवार दो लोगों ने मुझ पर अश्लील टिप्पणियां कीं। उन्होंने सीटियां भी बजाईं और मेरे और मेरे दोस्त की ओर अनुचित इशारे भी किए। जब मैंने उन्हें नज़रअंदाज कर दूर जाने की कोशिश की तो उन्होंने कुछ दूर तक पीछा किया। इस तरह के व्यवहार से मुझे अकेले यात्रा करते समय असुरक्षित महसूस होने लगा है। क्षेत्र की अन्य महिलाओं को भी उसी स्थान पर इसी तरह के उत्पीड़न का सामना करना पड़ा है। मैं ऐसी घटनाओं को रोकने के लिए इस क्षेत्र में पुलिस गश्त बढ़ाने का अनुरोध करता हूं। यदि लाइन-अप या सीसीटीवी समीक्षा की व्यवस्था की जाती है तो मैं व्यक्तियों की पहचान करने के लिए तैयार हूं।,ईव टीज़िंग
"मैं रिपोर्ट करना चाहती हूं कि मुझे व्हाट्सएप के जरिए ऑनलाइन परेशान किया जा रहा है। एक अज्ञात यूजर पिछले महीने की 10 तारीख से मुझे अपमानजनक और धमकी भरे संदेश भेज रहा है। उन्होंने मेरी सहमति के बिना मेरी तस्वीरों का उपयोग करके एक फर्जी प्रोफ़ाइल भी बनाई है। यह व्यक्ति मेरे दोस्तों और रिश्तेदारों को मेरे बारे में आपत्तिजनक सामग्री वाले संदेश भेज रहा है। मैंने खाते को ब्लॉक करने का प्रयास किया है, लेकिन नए नकली खाते सामने आते रहते हैं। इस ऑनलाइन उत्पीड़न के कारण मुझे बहुत तनाव और शर्मिंदगी उठानी पड़ रही है। मैं साइबर क्राइम सेल से अनुरोध करता हूं कि खाते का पता लगाया जाए और सख्त कार्रवाई की जाए। मैं उत्पीड़न के सबूत के रूप में स्क्रीनशॉट और चैट इतिहास साझा कर सकता हूं।",साइबर उत्पीड़न
"मैं चिंचवड़ बस स्टॉप के पास हुई एक छेड़छाड़ की घटना की रिपोर्ट कर रहा हूं। जब मैं बाजार से वापस आ रही थी तो कुछ युवक मेरे साथ छेड़छाड़ करने लगे और भद्दे कमेंट करने लगे। उन्होंने मेरी अनुमति के बिना मेरी तस्वीरें खींचने की भी कोशिश की. मैंने उनका विरोध किया, लेकिन उन्होंने इसे हंसी में उड़ा दिया और अपना व्यवहार जारी रखा। यह पहली बार नहीं है जब इस स्थान पर ऐसी घटनाएं हुई हैं। इसी ग्रुप के बारे में कई अन्य लड़कियों ने अनौपचारिक रूप से शिकायत की है. मैं महिलाओं की सुरक्षा सुनिश्चित करने के लिए सख्त कार्रवाई और नियमित पुलिस उपस्थिति का अनुरोध करता हूं। यदि व्यक्तियों का पता लगाया जाता है तो मैं पहचान में सहायता करने को तैयार हूं।",ईव टीज़िंग
"मैं खरादी बस स्टॉप के पास हुई एक छेड़छाड़ की घटना की रिपोर्ट कर रहा हूं। जब मैं कॉलेज जा रही थी तो बाइक पर दो आदमी मुझे छेड़ने लगे और भद्दे कमेंट करने लगे। उन्होंने मेरी अनुमति के बिना मेरी तस्वीरें खींचने की भी कोशिश की. मैंने उनका विरोध किया, लेकिन उन्होंने इसे हंसी में उड़ा दिया और अपना व्यवहार जारी रखा। यह पहली बार नहीं है जब इस स्थान पर ऐसी घटनाएं हुई हैं। इसी ग्रुप के बारे में कई अन्य लड़कियों ने अनौपचारिक रूप से शिकायत की है. मैं महिलाओं की सुरक्षा सुनिश्चित करने के लिए सख्त कार्रवाई और नियमित पुलिस उपस्थिति का अनुरोध करता हूं। यदि व्यक्तियों का पता लगाया जाता है तो मैं पहचान में सहायता करने को तैयार हूं।",ईव टीज़िंग
"मैं हडपसर में शोर और उपद्रव के संबंध में एक सामान्य सुरक्षा शिकायत दर्ज करना चाहता हूं। पिछले महीने की 10 तारीख से, पास का एक प्रतिष्ठान अनुमत घंटों से अधिक जोर-शोर से काम कर रहा है। इससे आस-पड़ोस की शांति भंग हो गई है, विशेषकर बुजुर्ग निवासियों और बच्चों के लिए। मालिकों से शोर कम करने के बार-बार अनुरोध को नजरअंदाज कर दिया गया है। सप्ताहांत पर स्थिति और भी गंभीर हो जाती है जब अशांति देर रात तक जारी रहती है। इस मुद्दे को स्थानीय अधिकारियों के सामने उठाने के लिए कई पड़ोसी एकजुट हुए हैं। मैं यह सुनिश्चित करने के लिए आवश्यक कार्रवाई का अनुरोध करता हूं कि शोर के स्तर को नियंत्रण में लाया जाए। कृपया निवासियों की भलाई के लिए इस मामले पर जल्द से जल्द ध्यान दें।",अन्य
मैं नासिक रोड में अपने पूर्व पति द्वारा पीछा किए जाने के संबंध में शिकायत दर्ज कराना चाहती हूं। चूँकि पिछले एक महीने से यह व्यक्ति लगभग हर दिन मेरा पीछा कर रहा है। कल शाम को मैंने देखा कि वही व्यक्ति फिर से मेरे घर के बाहर इंतज़ार कर रहा है। वे भी मेरे पीछे-पीछे मेरे कार्यस्थल तक आते हैं और गेट के पास इंतजार करते हैं। मैंने देखा है कि एक ही वाहन कई बार मेरे ऑटो-रिक्शा का पीछा कर रहा है। इस निरंतर अनुसरण ने मुझे अपनी सुरक्षा के लिए अत्यधिक चिंतित और भयभीत कर दिया है। मैं पुलिस से जांच करने और इस व्यक्ति को मेरा पीछा करने से रोकने का अनुरोध करता हूं। मैं उस व्यक्ति की पहचान करने और जरूरत पड़ने पर और विवरण प्रदान करने को तैयार हूं।,स्टॉकिंग
"मैं हडपसर बस स्टॉप के पास हुई एक छेड़छाड़ की घटना की रिपोर्ट कर रहा हूं। जब मैं बाजार से वापस आ रही थी तो एक अनजान आदमी ने मुझे छेड़ना शुरू कर दिया और भद्दे कमेंट करने लगा। उन्होंने मेरी अनुमति के बिना मेरी तस्वीरें खींचने की भी कोशिश की. मैंने उनका विरोध किया, लेकिन उन्होंने इसे हंसी में उड़ा दिया और अपना व्यवहार जारी रखा। यह पहली बार नहीं है जब इस स्थान पर ऐसी घटनाएं हुई हैं। इसी ग्रुप के बारे में कई अन्य लड़कियों ने अनौपचारिक रूप से शिकायत की है. मैं महिलाओं की सुरक्षा सुनिश्चित करने के लिए सख्त कार्रवाई और नियमित पुलिस उपस्थिति का अनुरोध करता हूं। यदि व्यक्तियों का पता लगाया जाता है तो मैं पहचान में सहायता करने को तैयार हूं।",ईव टीज़िंग
