complaint,category
"I am being blackmailed by my ex-boyfriend who is threatening to expose personal information about me. The blackmail attempts started a few days ago through messages on Facebook. They are asking for Rs. 20,000 failing which they threaten to defame me publicly. I have not given in to any of their demands so far. The mental pressure from these continuous threats is becoming unbearable. I have kept records of all the messages and calls related to this matter. I request immediate action to stop this blackmail and protect my privacy. Please advise on the legal steps I can take against this person.",Blackmail
"I want to report an incident of eve teasing that happened in Borivali. This morning around 8 am, a man at the bus stop passed vulgar comments at me while I was walking. They also whistled and made inappropriate gestures towards me and my friend. When I tried to ignore them and walk away, they followed for some distance. This kind of behaviour has made me feel unsafe while commuting alone. Other women in the area have also faced similar harassment at the same spot. I request increased police patrolling in this area to prevent such incidents. I am ready to identify the individuals if a line-up or CCTV review is arranged.",Eve Teasing
"I want to report continuous harassment I am facing from my ex-boyfriend in Hadapsar. It started 3rd of this month and has not stopped since then. My ex-boyfriend keeps passing insulting comments about me in front of others. Last week, this person again misbehaved with me near my house. I have asked them politely to stop, but they continue to trouble me. This is affecting my mental peace and I am scared to step out alone. I request the police to take strict action against the person responsible. I am ready to provide any further details required for the investigation.",Harassment
"I, along with my family, am being harassed by my colleague residing in Pimpri. The harassment has been going on for 15th july now. They pass lewd remarks and try to create trouble whenever they see me. Last night around 9 pm the situation became worse when they confronted me directly. I feel unsafe going to work because of this constant harassment. My family members have also witnessed this behaviour on multiple occasions. I request immediate intervention so that this harassment stops permanently. Kindly register my complaint and take necessary legal action.",Harassment
"I am filing this complaint against my father-in-law for continuous domestic abuse at home. Since 10th of last month, I have been subjected to physical assault and harassment. I am also denied basic necessities and confined to the house without reason. There have been repeated threats of violence whenever I try to speak up. My relatives are aware of the situation and can testify to the abuse. I fear for my safety and the safety of my children living with me. I request immediate protection and appropriate legal action under the law. Kindly guide me regarding shelter and legal support available for my situation.",Domestic Violence
"I want to report a broken streetlight and damaged footpath in Baner causing safety issues. This problem has persisted for last friday without any repair work being done. Elderly people and children find it very difficult to walk safely in this area. During the rains, the area gets waterlogged, increasing the risk of falls. There have been a few incidents of people slipping and getting injured here. I along with other residents request immediate repair of this public infrastructure. This poses a continuous risk to pedestrians and vehicles passing through daily. I request quick action from the municipal authorities to resolve this matter.",Public Safety
"I want to report that my classmate is blackmailing me using Snapchat. Since since the last two weeks, this person has threatened to leak my private photos and information. They are demanding Rs. 35,000 in exchange for not making the content public. I have refused to pay, after which the threats have become more frequent. This blackmail has caused me severe mental stress and fear of social embarrassment. I have saved all the chat conversations and screenshots as evidence. I request the cyber crime department to investigate and take strict action. I am willing to cooperate fully to ensure this person is held accountable.",Blackmail
"I want to raise a public safety concern regarding the condition of roads in Nashik Road. There is an open manhole near the main road that has been uncovered since 2nd august. Several two-wheeler riders have already met with minor accidents at this spot. There are no warning signs or barricades placed around the hazardous area. At night, due to poor street lighting, the risk of accidents increases further. Local residents have raised this issue before, but no action has been taken. I request the concerned authorities to repair the manhole and ensure proper lighting. This is a serious public safety hazard that needs urgent attention.",Public Safety
"I am being blackmailed by a group of boys who is threatening to expose personal information about me. The blackmail attempts started 3rd of this month through messages on a dating app. They are asking for Rs. 50,000 failing which they threaten to defame me publicly. I have not given in to any of their demands so far. The mental pressure from these continuous threats is becoming unbearable. I have kept records of all the messages and calls related to this matter. I request immediate action to stop this blackmail and protect my privacy. Please advise on the legal steps I can take against this person.",Blackmail
"I am reporting an eve teasing incident that occurred near Chinchwad bus stop. This morning around 8 am, a man at the bus stop started teasing me and passing lewd remarks. They also tried to click photographs of me without my permission. I confronted them, but they laughed it off and continued their behaviour. This is not the first time such incidents have happened at this location. Several other girls have complained informally about the same group. I request strict action and regular police presence to ensure women's safety. I am willing to assist with identification if the individuals are traced.",Eve Teasing
"I want to report that I have received serious threats from a group of boys in Thane. Since last friday, this person has been threatening to harm me and my family. They have warned me of dire consequences if I do not comply with their demands. The threats have been made both in person and over phone calls. I am extremely worried about the safety of my family due to these threats. I have not responded to any of their demands, which has escalated their anger. I request police protection and immediate action against the person threatening me. I can provide call recordings and witness details to support this complaint.",Threat
"I want to report a broken streetlight and damaged footpath in Chinchwad causing safety issues. This problem has persisted for since the last two weeks without any repair work being done. Elderly people and children find it very difficult to walk safely in this area. During the rains, the area gets waterlogged, increasing the risk of falls. There have been a few incidents of people slipping and getting injured here. I along with other residents request immediate repair of this public infrastructure. This poses a continuous risk to pedestrians and vehicles passing through daily. I request quick action from the municipal authorities to resolve this matter.",Public Safety
"I am filing this complaint against my mother-in-law for continuous domestic abuse at home. Since 3rd of this month, I have been subjected to physical assault and harassment. I am also denied basic necessities and confined to the house without reason. There have been repeated threats of violence whenever I try to speak up. My relatives are aware of the situation and can testify to the abuse. I fear for my safety and the safety of my children living with me. I request immediate protection and appropriate legal action under the law. Kindly guide me regarding shelter and legal support available for my situation.",Domestic Violence
"I am filing this complaint against my mother-in-law for continuous domestic abuse at home. Since a few days ago, I have been subjected to physical assault and harassment. I am also denied basic necessities and confined to the house without reason. There have been repeated threats of violence whenever I try to speak up. My relatives are aware of the situation and can testify to the abuse. I fear for my safety and the safety of my children living with me. I request immediate protection and appropriate legal action under the law. Kindly guide me regarding shelter and legal support available for my situation.",Domestic Violence
"I, along with my family, am being harassed by my neighbour residing in Vashi. The harassment has been going on for a few days ago now. They pass lewd remarks and try to create trouble whenever they see me. On monday afternoon the situation became worse when they confronted me directly. I feel unsafe going to work because of this constant harassment. My family members have also witnessed this behaviour on multiple occasions. I request immediate intervention so that this harassment stops permanently. Kindly register my complaint and take necessary legal action.",Harassment
"I want to report an incident of eve teasing that happened in Kalyan. On monday afternoon, two men on a bike passed vulgar comments at me while I was walking. They also whistled and made inappropriate gestures towards me and my friend. When I tried to ignore them and walk away, they followed for some distance. This kind of behaviour has made me feel unsafe while commuting alone. Other women in the area have also faced similar harassment at the same spot. I request increased police patrolling in this area to prevent such incidents. I am ready to identify the individuals if a line-up or CCTV review is arranged.",Eve Teasing
"I am filing this complaint against my husband and his family for continuous domestic abuse at home. Since last friday, I have been subjected to physical assault and harassment. I am also denied basic necessities and confined to the house without reason. There have been repeated threats of violence whenever I try to speak up. My relatives are aware of the situation and can testify to the abuse. I fear for my safety and the safety of my children living with me. I request immediate protection and appropriate legal action under the law. Kindly guide me regarding shelter and legal support available for my situation.",Domestic Violence
"I want to report continuous harassment I am facing from a stranger in Dadar. It started 3rd of this month and has not stopped since then. A stranger keeps passing insulting comments about me in front of others. Two days back, this person again misbehaved with me near my house. I have asked them politely to stop, but they continue to trouble me. This is affecting my mental peace and I am scared to step out alone. I request the police to take strict action against the person responsible. I am ready to provide any further details required for the investigation.",Harassment
"I want to file a complaint regarding stalking by my husband in Wakad. Since 3rd of this month, this person has been following me almost every day. Early this morning, I noticed the same person waiting outside my house again. They also follow me to my workplace and wait near the gate. I have noticed the same vehicle following my auto-rickshaw multiple times. This constant following has made me extremely anxious and fearful for my safety. I request the police to investigate and stop this person from stalking me. I am willing to identify the person and provide further details if needed.",Stalking
"I want to raise a public safety concern regarding the condition of roads in Nashik Road. There is an open manhole near the main road that has been uncovered since a few days ago. Several two-wheeler riders have already met with minor accidents at this spot. There are no warning signs or barricades placed around the hazardous area. At night, due to poor street lighting, the risk of accidents increases further. Local residents have raised this issue before, but no action has been taken. I request the concerned authorities to repair the manhole and ensure proper lighting. This is a serious public safety hazard that needs urgent attention.",Public Safety
"Someone on Telegram has been repeatedly sending me inappropriate messages and comments. This harassment began last friday and has increased in frequency recently. The person has also commented obscene things on my public posts. I tried to reason with them, but they continued with more vulgar messages. They also tagged my friends and family in embarrassing and false posts. I am extremely disturbed and unable to use social media peacefully anymore. I request that the account be tracked down and appropriate action be taken. I am attaching the necessary screenshots to support my complaint.",Cyber Harassment
"This is to report a theft incident involving my wife's handbag in the Camp area locality. It occurred last week, when I had briefly stepped away from the spot. On returning, I found that my belongings had been taken by someone unknown. The estimated loss is approximately Rs. 1,00,000, which is a significant amount for me. There were a few people nearby, but no one noticed the theft taking place. I have checked with nearby shops and residents, but there is no lead yet. I request that the case be registered and investigated at the earliest. I am willing to cooperate fully with the investigation process.",Theft
"A person, identified as my ex-boyfriend, has been stalking me for 15th july now. Yesterday evening, they were seen standing near my college gate watching me. They repeatedly try to talk to me even after I have refused multiple times. My friends have also noticed this person following me on different days. This person seems to know my daily routine, which is very concerning. I fear this may escalate into something more dangerous if not stopped. I request that strict action be taken against this individual immediately. Please guide me on the next steps to ensure my safety.",Stalking
"I want to file a complaint regarding stalking by my ex-partner in Vile Parle. Since 2nd august, this person has been following me almost every day. While i was returning from work, I noticed the same person waiting outside my house again. They also follow me to my workplace and wait near the gate. I have noticed the same vehicle following my auto-rickshaw multiple times. This constant following has made me extremely anxious and fearful for my safety. I request the police to investigate and stop this person from stalking me. I am willing to identify the person and provide further details if needed.",Stalking
